TABLE 0/3: 0< N_{particle} <20
AbsEtaLow,AbsEtaHigh,PhiLow,PhiHigh,Numerator,Denominator,Error,RelativeError
0, 0.2, -3.15159, -2.99401, 524, 19441, 0.00119323, 0.04427
0, 0.2, -2.99401, -2.83643, 612, 23479, 0.00106729, 0.040946
0, 0.2, -2.83643, -2.67885, 748, 27897, 0.000993434, 0.0370506
0, 0.2, -2.67885, -2.52127, 792, 34459, 0.000826027, 0.0359395
0, 0.2, -2.52127, -2.36369, 863, 39777, 0.000746508, 0.0344077
0, 0.2, -2.36369, -2.20611, 907, 38370, 0.000794118, 0.0335946
0, 0.2, -2.20611, -2.04854, 928, 35810, 0.000861639, 0.0332492
0, 0.2, -2.04854, -1.89096, 1007, 33336, 0.000966192, 0.0319851
0, 0.2, -1.89096, -1.73338, 998, 31989, 0.00100285, 0.0321444
0, 0.2, -1.73338, -1.5758, 1020, 30112, 0.00107844, 0.0318371
0, 0.2, -1.5758, -1.41822, 1013, 29585, 0.00109407, 0.0319526
0, 0.2, -1.41822, -1.26064, 966, 31249, 0.00100987, 0.032668
0, 0.2, -1.26064, -1.10306, 924, 32897, 0.000936903, 0.0333564
0, 0.2, -1.10306, -0.945478, 926, 35692, 0.000863568, 0.0332856
0, 0.2, -0.945478, -0.787898, 898, 38655, 0.000784187, 0.0337558
0, 0.2, -0.787898, -0.630319, 851, 39738, 0.000741925, 0.0346447
0, 0.2, -0.630319, -0.472739, 917, 35403, 0.000866358, 0.0334479
0, 0.2, -0.472739, -0.315159, 770, 27967, 0.00100577, 0.0365302
0, 0.2, -0.315159, -0.15758, 597, 23697, 0.00104399, 0.0414396
0, 0.2, -0.15758, 0, 555, 20802, 0.00114752, 0.0430102
0, 0.2, 0, 0.157579, 559, 21125, 0.00113392, 0.0428514
0, 0.2, 0.157579, 0.315159, 665, 23851, 0.00109616, 0.0393152
0, 0.2, 0.315159, 0.472739, 688, 27868, 0.000952762, 0.0385924
0, 0.2, 0.472739, 0.630318, 866, 34678, 0.000859134, 0.0344031
0, 0.2, 0.630318, 0.787898, 909, 39676, 0.000768551, 0.0335457
0, 0.2, 0.787898, 0.945477, 921, 37730, 0.000814104, 0.0333509
0, 0.2, 0.945477, 1.10306, 943, 35206, 0.000883851, 0.0329977
0, 0.2, 1.10306, 1.26064, 1005, 33305, 0.000966116, 0.0320164
0, 0.2, 1.26064, 1.41822, 1027, 31132, 0.00104623, 0.0317148
0, 0.2, 1.41822, 1.5758, 950, 29863, 0.0010484, 0.0329563
0, 0.2, 1.5758, 1.73338, 987, 30135, 0.00105946, 0.0323474
0, 0.2, 1.73338, 1.89096, 985, 31432, 0.00101402, 0.032358
0, 0.2, 1.89096, 2.04853, 956, 33374, 0.000939623, 0.0328023
0, 0.2, 2.04853, 2.20611, 948, 36008, 0.00086626, 0.0329033
0, 0.2, 2.20611, 2.36369, 910, 38773, 0.000787098, 0.0335364
0, 0.2, 2.36369, 2.52127, 891, 39786, 0.000758609, 0.0338743
0, 0.2, 2.52127, 2.67885, 860, 34331, 0.000864839, 0.0345242
0, 0.2, 2.67885, 2.83643, 734, 27465, 0.000999529, 0.0374006
0, 0.2, 2.83643, 2.99401, 614, 23272, 0.00107871, 0.0408856
0, 0.2, 2.99401, 3.15159, 512, 19524, 0.00117405, 0.0447699
0.2, 0.4, -3.15159, -2.99401, 550, 17484, 0.00136228, 0.0433056
0.2, 0.4, -2.99401, -2.83643, 704, 20984, 0.00128548, 0.0383159
0.2, 0.4, -2.83643, -2.67885, 875, 25058, 0.00120091, 0.0343913
0.2, 0.4, -2.67885, -2.52127, 917, 29499, 0.00104238, 0.0335323
0.2, 0.4, -2.52127, -2.36369, 973, 36216, 0.000872796, 0.0324863
0.2, 0.4, -2.36369, -2.20611, 1069, 35083, 0.000946041, 0.0310477
0.2, 0.4, -2.20611, -2.04854, 981, 32362, 0.00098239, 0.0324078
0.2, 0.4, -2.04854, -1.89096, 1044, 30555, 0.00107538, 0.0314735
0.2, 0.4, -1.89096, -1.73338, 1124, 29342, 0.00116428, 0.0303934
0.2, 0.4, -1.73338, -1.5758, 1073, 28525, 0.00116975, 0.031097
0.2, 0.4, -1.5758, -1.41822, 1083, 28277, 0.00118588, 0.0309633
0.2, 0.4, -1.41822, -1.26064, 1070, 28850, 0.00115466, 0.0311326
0.2, 0.4, -1.26064, -1.10306, 980, 30495, 0.00104292, 0.032453
0.2, 0.4, -1.10306, -0.945478, 1019, 32427, 0.000999768, 0.031815
0.2, 0.4, -0.945478, -0.787898, 973, 35136, 0.000899986, 0.0324994
0.2, 0.4, -0.787898, -0.630319, 939, 35415, 0.000876654, 0.0330636
0.2, 0.4, -0.630319, -0.472739, 924, 30666, 0.00100606, 0.0333895
0.2, 0.4, -0.472739, -0.315159, 825, 24370, 0.0011984, 0.0353999
0.2, 0.4, -0.315159, -0.15758, 700, 20962, 0.00128307, 0.0384223
0.2, 0.4, -0.15758, 0, 663, 18697, 0.00140137, 0.0395194
0.2, 0.4, 0, 0.157579, 645, 18429, 0.001402, 0.0400581
0.2, 0.4, 0.157579, 0.315159, 789, 21042, 0.00135971, 0.0362623
0.2, 0.4, 0.315159, 0.472739, 850, 24412, 0.00121489, 0.0348917
0.2, 0.4, 0.472739, 0.630318, 993, 30353, 0.00105503, 0.032249
0.2, 0.4, 0.630318, 0.787898, 975, 35706, 0.000886362, 0.0324599
0.2, 0.4, 0.787898, 0.945477, 1050, 35474, 0.000926869, 0.0313141
0.2, 0.4, 0.945477, 1.10306, 1086, 32789, 0.00102156, 0.0308433
0.2, 0.4, 1.10306, 1.26064, 1081, 30533, 0.00109572, 0.0309487
