TABLE 0/3: 0< N_{particle} <20
AbsEtaLow,AbsEtaHigh,PhiLow,PhiHigh,Numerator,Denominator,Error,RelativeError
0, 0.2, -3.15159, -2.99401, 288, 402, 0.0553072, 0.0771996
0, 0.2, -2.99401, -2.83643, 400, 457, 0.0599303, 0.0684703
0, 0.2, -2.83643, -2.67885, 401, 507, 0.0528571, 0.0668293
0, 0.2, -2.67885, -2.52127, 431, 616, 0.0439381, 0.0627978
0, 0.2, -2.52127, -2.36369, 379, 785, 0.0301989, 0.0625492
0, 0.2, -2.36369, -2.20611, 422, 1074, 0.0225744, 0.0574523
0, 0.2, -2.20611, -2.04854, 400, 1787, 0.0123813, 0.0553136
0, 0.2, -2.04854, -1.89096, 431, 3353, 0.00657755, 0.0511706
0, 0.2, -1.89096, -1.73338, 425, 11689, 0.00179545, 0.0493811
0, 0.2, -1.73338, -1.5758, 436, 20504, 0.00102914, 0.0483978
0, 0.2, -1.5758, -1.41822, 435, 20455, 0.00103042, 0.0484535
0, 0.2, -1.41822, -1.26064, 415, 12669, 0.00163411, 0.0498856
0, 0.2, -1.26064, -1.10306, 404, 3560, 0.00595775, 0.052499
0, 0.2, -1.10306, -0.945478, 423, 1796, 0.0127289, 0.054045
0, 0.2, -0.945478, -0.787898, 400, 1137, 0.0204516, 0.0581335
0, 0.2, -0.787898, -0.630319, 450, 809, 0.0327112, 0.0588074
0, 0.2, -0.630319, -0.472739, 399, 631, 0.0404446, 0.0639613
0, 0.2, -0.472739, -0.315159, 404, 493, 0.0549942, 0.0671092
0, 0.2, -0.315159, -0.15758, 360, 496, 0.0502534, 0.069238
0, 0.2, -0.15758, 0, 351, 410, 0.0622544, 0.0727188
0, 0.2, 0, 0.157579, 339, 417, 0.0594507, 0.0731296
0, 0.2, 0.157579, 0.315159, 357, 446, 0.0568446, 0.071016
0, 0.2, 0.315159, 0.472739, 360, 456, 0.0556608, 0.0705036
0, 0.2, 0.472739, 0.630318, 389, 663, 0.0374725, 0.063867
0, 0.2, 0.630318, 0.787898, 374, 799, 0.0293268, 0.0626527
0, 0.2, 0.787898, 0.945477, 405, 1128, 0.0207986, 0.0579281
