TABLE 0/3: 0< N_{particle} <20
AbsEtaLow,AbsEtaHigh,Value,Error,RelativeError
0, 0.2, 0.0268448, 0.000261625, 0.00974584
0.2, 0.4, 0.0330117, 0.000306851, 0.00929522
0.4, 0.6, 0.0410818, 0.000373354, 0.00908806
0.6, 0.8, 0.0548527, 0.00048213, 0.00878954
0.8, 1, 0.0768233, 0.000655225, 0.00852898
1, 1.2, 0.109082, 0.00090734, 0.00831793
1.2, 1.4, 0.164926, 0.00132793, 0.00805169
1.4, 1.6, 0.256398, 0.00204309, 0.00796845
1.6, 1.8, 0.408904, 0.00324677, 0.00794019
1.8, 2, 0.63475, 0.00519249, 0.00818037
2, 2.2, 0.97382, 0.00843059, 0.00865723
2.2, 2.4, 1.55044, 0.0147599, 0.00951985
2.4, 2.6, 2.44392, 0.0261833, 0.0107136
2.6, 2.8, 3.75833, 0.0458821, 0.0122081
2.8, 3, 5.80883, 0.0830595, 0.0142988
3, 3.2, 9.02303, 0.15474, 0.0171494
3.2, 3.4, 13.0097, 0.26579, 0.0204301
3.4, 3.6, 18.389, 0.454634, 0.0247232
3.6, 3.8, 25.1469, 0.765179, 0.0304283
3.8, 4, 28.0407, 0.973648, 0.0347226
4, 4.5, 37.3093, 1.1504, 0.0308341
4.5, 5, 45.0767, 2.23177, 0.0495104
5, 5.5, 41.6344, 3.08923, 0.0741989
5.5, 6, 45.5781, 5.75943, 0.126364
6, 10, 41.4884, 6.40271, 0.154325
TABLE 1/3: 20< N_{particle} <30
AbsEtaLow,AbsEtaHigh,Value,Error,RelativeError
0, 0.2, 0.0385593, 0.000113227, 0.00293643
0.2, 0.4, 0.0478332, 0.000132696, 0.00277415
0.4, 0.6, 0.0610449, 0.000163924, 0.00268531
0.6, 0.8, 0.0820073, 0.000213607, 0.00260473
0.8, 1, 0.115509, 0.000292075, 0.00252859
1, 1.2, 0.168798, 0.000416435, 0.00246707
1.2, 1.4, 0.256001, 0.000620742, 0.00242477
1.4, 1.6, 0.398287, 0.000963253, 0.00241849
1.6, 1.8, 0.625281, 0.00155109, 0.00248063
1.8, 2, 0.982414, 0.00257013, 0.00261614
2, 2.2, 1.54493, 0.00440647, 0.00285222
2.2, 2.4, 2.37498, 0.00760222, 0.00320096
2.4, 2.6, 3.61007, 0.0133018, 0.00368465
2.6, 2.8, 5.33267, 0.0230226, 0.00431728
2.8, 3, 7.52266, 0.0384951, 0.00511721
3, 3.2, 10.333, 0.0635361, 0.00614883
3.2, 3.4, 13.4862, 0.100126, 0.00742438
3.4, 3.6, 16.9217, 0.152466, 0.00901009
3.6, 3.8, 19.7597, 0.214099, 0.0108351
3.8, 4, 22.7087, 0.299728, 0.0131988
4, 4.5, 26.4371, 0.308147, 0.0116558
4.5, 5, 29.8235, 0.568533, 0.0190632
5, 5.5, 32.6241, 1.04164, 0.0319286
5.5, 6, 32.3316, 1.69072, 0.052293
6, 10, 31.8844, 2.15871, 0.067704
TABLE 2/3: 30< N_{particle} <200
AbsEtaLow,AbsEtaHigh,Value,Error,RelativeError
0, 0.2, 0.0593848, 0.000125858, 0.00211937
0.2, 0.4, 0.0787643, 0.000152528, 0.00193651
0.4, 0.6, 0.104011, 0.000191384, 0.00184003
0.6, 0.8, 0.142219, 0.000252483, 0.00177532
0.8, 1, 0.198126, 0.000345552, 0.0017441
1, 1.2, 0.284159, 0.00049362, 0.00173713
1.2, 1.4, 0.41311, 0.00072874, 0.00176403
1.4, 1.6, 0.608541, 0.00111652, 0.00183475
1.6, 1.8, 0.894553, 0.00175172, 0.00195821
1.8, 2, 1.30655, 0.00280798, 0.00214916
2, 2.2, 1.87634, 0.00454089, 0.00242008
2.2, 2.4, 2.637, 0.00732267, 0.0027769
2.4, 2.6, 3.6172, 0.0117601, 0.00325116
2.6, 2.8, 4.7632, 0.0182792, 0.00383758
2.8, 3, 6.08097, 0.0279368, 0.00459414
3, 3.2, 7.46148, 0.0412596, 0.00552968
3.2, 3.4, 8.79196, 0.0587505, 0.00668231
3.4, 3.6, 9.98471, 0.080768, 0.00808917
3.6, 3.8, 11.0606, 0.109237, 0.00987629
3.8, 4, 11.9793, 0.144223, 0.0120394
4, 4.5, 12.7181, 0.133591, 0.010504
4.5, 5, 13.4092, 0.230363, 0.0171794
5, 5.5, 13.1386, 0.36623, 0.0278743
5.5, 6, 14.3992, 0.682517, 0.0473998
6, 10, 13.3436, 0.810999, 0.0607779
