TABLE 0/3: 0< N_{particle} <20
AbsEtaLow,AbsEtaHigh,Value,Error,RelativeError
0, 0.2, 0.0793218, 0.000611411, 0.00770798
0.2, 0.4, 0.0941221, 0.000700832, 0.00744599
0.4, 0.6, 0.118151, 0.000863319, 0.00730693
0.6, 0.8, 0.160874, 0.00114823, 0.00713743
0.8, 1, 0.233075, 0.00162372, 0.0069665
1, 1.2, 0.340258, 0.00236212, 0.00694216
1.2, 1.4, 0.52016, 0.00360867, 0.00693762
1.4, 1.6, 0.819608, 0.00584737, 0.00713435
1.6, 1.8, 1.32549, 0.0101403, 0.00765023
1.8, 2, 2.04793, 0.0171389, 0.00836885
2, 2.2, 3.21776, 0.0303963, 0.00944643
2.2, 2.4, 5.09793, 0.0560617, 0.010997
2.4, 2.6, 7.6779, 0.0981366, 0.0127817
2.6, 2.8, 11.7527, 0.177899, 0.0151369
2.8, 3, 17.8865, 0.322706, 0.0180418
3, 3.2, 25.407, 0.543061, 0.0213745
3.2, 3.4, 35.8643, 0.91824, 0.0256032
3.4, 3.6, 50.9544, 1.59621, 0.0313264
3.6, 3.8, 63.8752, 2.37445, 0.0371733
3.8, 4, 84.588, 3.89177, 0.0460085
4, 4.5, 102.291, 3.96227, 0.0387353
4.5, 5, 146.583, 9.78378, 0.0667455
5, 5.5, 166.459, 18.326, 0.110093
5.5, 6, 141.81, 23.0856, 0.162792
6, 10, 202.182, 50.6704, 0.250617
TABLE 1/3: 20< N_{particle} <30
AbsEtaLow,AbsEtaHigh,Value,Error,RelativeError
0, 0.2, 0.112543, 0.000264629, 0.00235136
0.2, 0.4, 0.137993, 0.000308938, 0.00223879
0.4, 0.6, 0.175039, 0.000382639, 0.00218601
0.6, 0.8, 0.238046, 0.000511038, 0.00214681
0.8, 1, 0.339172, 0.000721983, 0.00212866
1, 1.2, 0.503226, 0.00107566, 0.00213754
1.2, 1.4, 0.772455, 0.00169547, 0.00219491
1.4, 1.6, 1.21877, 0.00281609, 0.0023106
1.6, 1.8, 1.92202, 0.00482344, 0.00250957
1.8, 2, 3.02914, 0.00850202, 0.00280675
2, 2.2, 4.72531, 0.0152255, 0.00322211
2.2, 2.4, 7.23579, 0.0273442, 0.00377902
2.4, 2.6, 10.9235, 0.0490959, 0.00449452
2.6, 2.8, 15.8822, 0.0855446, 0.0053862
2.8, 3, 22.1935, 0.143393, 0.00646104
3, 3.2, 30.326, 0.238507, 0.00786478
3.2, 3.4, 39.3773, 0.375809, 0.0095438
3.4, 3.6, 48.8095, 0.564268, 0.0115606
3.6, 3.8, 59.2441, 0.83793, 0.0141437
3.8, 4, 69.396, 1.20333, 0.0173401
4, 4.5, 80.8368, 1.22849, 0.0151972
4.5, 5, 93.4044, 2.33086, 0.0249545
5, 5.5, 100.483, 4.16442, 0.0414441
5.5, 6, 102.631, 6.98485, 0.0680577
6, 10, 103.356, 9.14392, 0.08847
TABLE 2/3: 30< N_{particle} <200
AbsEtaLow,AbsEtaHigh,Value,Error,RelativeError
0, 0.2, 0.181906, 0.000301089, 0.00165518
0.2, 0.4, 0.240483, 0.000368333, 0.00153164
0.4, 0.6, 0.317377, 0.000467087, 0.00147171
0.6, 0.8, 0.426703, 0.000618342, 0.00144911
0.8, 1, 0.594718, 0.000872715, 0.00146744
1, 1.2, 0.853652, 0.0012987, 0.00152134
1.2, 1.4, 1.24802, 0.0020231, 0.00162105
1.4, 1.6, 1.84599, 0.00328251, 0.00177818
1.6, 1.8, 2.72136, 0.0054529, 0.00200374
1.8, 2, 3.94022, 0.00906198, 0.00229987
2, 2.2, 5.59848, 0.0150272, 0.00268416
2.2, 2.4, 7.86747, 0.025081, 0.00318794
2.4, 2.6, 10.6079, 0.0402751, 0.00379671
2.6, 2.8, 14.0695, 0.0645476, 0.00458775
2.8, 3, 17.7728, 0.0983827, 0.00553557
3, 3.2, 22.08, 0.149212, 0.00675781
3.2, 3.4, 25.4498, 0.207293, 0.00814518
3.4, 3.6, 29.6332, 0.296429, 0.0100033
3.6, 3.8, 33.1904, 0.405579, 0.0122197
3.8, 4, 35.452, 0.523935, 0.0147787
4, 4.5, 38.0623, 0.494132, 0.0129822
4.5, 5, 41.9367, 0.904286, 0.0215631
5, 5.5, 42.8173, 1.51445, 0.0353701
5.5, 6, 41.5645, 2.40449, 0.0578496
6, 10, 38.2498, 2.76058, 0.0721725
