TABLE 0/3: 0< N_{particle} <20
AbsEtaLow,AbsEtaHigh,Numerator,Denominator,Error,RelativeError
0, 0.2, 90810, 1.14681e+06, 0.00136488, 0.0172366
0.2, 0.4, 98640, 1.04887e+06, 0.000700334, 0.0074469
0.4, 0.6, 104670, 885825, 0.000863576, 0.00730846
0.6, 0.8, 113890, 707890, 0.00114857, 0.007139
0.8, 1, 126980, 544770, 0.00162419, 0.0069681
1, 1.2, 138985, 408450, 0.0023628, 0.00694381
1.2, 1.4, 157845, 303445, 0.00360967, 0.00693932
1.4, 1.6, 178660, 217980, 0.00584887, 0.00713611
1.6, 1.8, 198575, 149815, 0.0101426, 0.00765205
1.8, 2, 217490, 106205, 0.0171418, 0.00837068
2, 2.2, 236225, 73420, 0.0303989, 0.00944815
2.2, 2.4, 252025, 49445, 0.056059, 0.0109983
2.4, 2.6, 265510, 34590, 0.0981144, 0.0127821
2.6, 2.8, 278220, 23680, 0.177844, 0.0151367
2.8, 3, 290035, 16220, 0.322608, 0.0180416
3, 3.2, 288925, 11375, 0.54291, 0.0213744
3.2, 3.4, 281105, 7840, 0.918021, 0.0256036
3.4, 3.6, 264640, 5195, 1.59582, 0.0313266
3.6, 3.8, 234680, 3675, 2.37383, 0.0371732
3.8, 4, 202115, 2390, 3.8908, 0.0460086
4, 4.5, 137646, 1346, 3.96118, 0.0387352
4.5, 5, 66240, 452, 9.78148, 0.0667456
5, 5.5, 27628, 166, 18.3233, 0.110094
5.5, 6, 10778, 76, 23.0865, 0.162792
6, 10, 808.75, 4, 50.6717, 0.250617
TABLE 1/3: 20< N_{particle} <30
AbsEtaLow,AbsEtaHigh,Numerator,Denominator,Error,RelativeError
0, 0.2, 1.00707e+06, 8.99702e+06, 0.000588087, 0.00525386
0.2, 0.4, 1.13817e+06, 8.2244e+06, 0.000309478, 0.00223628
0.4, 0.6, 1.23325e+06, 6.98113e+06, 0.000385843, 0.00218415
0.6, 0.8, 1.34892e+06, 5.61698e+06, 0.000514888, 0.00214402
0.8, 1, 1.48592e+06, 4.34685e+06, 0.00072637, 0.0021249
1, 1.2, 1.65659e+06, 3.27201e+06, 0.00107952, 0.00213222
1.2, 1.4, 1.8565e+06, 2.39606e+06, 0.00169399, 0.00218632
1.4, 1.6, 2.09614e+06, 1.72086e+06, 0.00280181, 0.00230019
1.6, 1.8, 2.33106e+06, 1.21218e+06, 0.00481516, 0.00250395
1.8, 2, 2.56085e+06, 844070, 0.00851459, 0.00280645
2, 2.2, 2.75785e+06, 583260, 0.0152378, 0.00322266
2.2, 2.4, 2.88225e+06, 398290, 0.0273543, 0.00378
2.4, 2.6, 2.94918e+06, 270030, 0.0491012, 0.00449576
2.6, 2.8, 2.90811e+06, 183110, 0.0855634, 0.00538751
2.8, 3, 2.7782e+06, 125120, 0.143491, 0.0064623
3, 3.2, 2.53552e+06, 83475, 0.23892, 0.00786576
3.2, 3.4, 2.2237e+06, 56280, 0.377102, 0.00954411
3.4, 3.6, 1.87351e+06, 38180, 0.56724, 0.0115597
3.6, 3.8, 1.51178e+06, 25420, 0.841068, 0.0141422
3.8, 4, 1.17273e+06, 16870, 1.20535, 0.0173392
4, 4.5, 712298, 8768, 1.23448, 0.0151957
4.5, 5, 303106, 3246, 2.33024, 0.0249548
5, 5.5, 118136, 1176, 4.1633, 0.0414441
5.5, 6, 44738, 436, 6.98341, 0.0680578
6, 10, 3332.75, 32.25, 9.14259, 0.0884701
TABLE 2/3: 30< N_{particle} <200
AbsEtaLow,AbsEtaHigh,Numerator,Denominator,Error,RelativeError
0, 0.2, 2.18008e+06, 1.22532e+07, 0.000653902, 0.00367529
0.2, 0.4, 2.65864e+06, 1.128e+07, 0.000359305, 0.00152444
0.4, 0.6, 3.04514e+06, 9.70987e+06, 0.000460584, 0.00146864
0.6, 0.8, 3.38141e+06, 7.90206e+06, 0.000621791, 0.00145307
0.8, 1, 3.67802e+06, 6.16189e+06, 0.000879461, 0.00147339
1, 1.2, 3.97542e+06, 4.65128e+06, 0.00130539, 0.00152732
1.2, 1.4, 4.24869e+06, 3.41094e+06, 0.00202491, 0.00162564
1.4, 1.6, 4.47992e+06, 2.44203e+06, 0.00326293, 0.00177864
1.6, 1.8, 4.62382e+06, 1.71494e+06, 0.00539032, 0.00199923
1.8, 2, 4.65126e+06, 1.1881e+06, 0.00899852, 0.00229856
2, 2.2, 4.55489e+06, 816970, 0.0149788, 0.00268661
2.2, 2.4, 4.34187e+06, 553970, 0.0250039, 0.00319019
2.4, 2.6, 4.01036e+06, 379250, 0.0401699, 0.00379877
2.6, 2.8, 3.56987e+06, 254275, 0.0644352, 0.00458959
2.8, 3, 3.0598e+06, 172265, 0.0983504, 0.00553707
3, 3.2, 2.53026e+06, 114405, 0.149481, 0.00675873
3.2, 3.4, 2.00333e+06, 78315, 0.208352, 0.00814497
3.4, 3.6, 1.53684e+06, 51650, 0.297636, 0.0100029
3.6, 3.8, 1.14667e+06, 34495, 0.406186, 0.0122192
3.8, 4, 834270, 23540, 0.52375, 0.0147783
4, 4.5, 464350, 12180, 0.494894, 0.0129812
4.5, 5, 184636, 4404, 0.904022, 0.021563
5, 5.5, 70032, 1636, 1.51409, 0.0353702
5.5, 6, 25434, 612, 2.40417, 0.0578499
6, 10, 1883.75, 49.25, 2.7605, 0.0721724
