TABLE 0/3: 0< N_{particle} <20
AbsEtaLow,AbsEtaHigh,Numerator,Denominator,Error,RelativeError
0, 0.2, 79240, 836300, 0.00176091, 0.0185847
0.2, 0.4, 82665, 771610, 0.000876694, 0.00818322
0.4, 0.6, 85155, 668730, 0.00103602, 0.00813593
0.6, 0.8, 87130, 548935, 0.00129431, 0.00815439
0.8, 1, 90420, 424135, 0.00174613, 0.00819062
1, 1.2, 94855, 314710, 0.00249638, 0.00828249
1.2, 1.4, 99270, 227750, 0.00370675, 0.00850421
1.4, 1.6, 101190, 160035, 0.00567857, 0.00898082
1.6, 1.8, 105525, 111755, 0.009063, 0.00959807
1.8, 2, 109580, 76830, 0.0150068, 0.0105218
2, 2.2, 115085, 52085, 0.0260918, 0.0118086
2.2, 2.4, 122160, 34980, 0.0473547, 0.0135598
2.4, 2.6, 125395, 23705, 0.083773, 0.0158367
2.6, 2.8, 133415, 16325, 0.151522, 0.0185407
2.8, 3, 136945, 10710, 0.286878, 0.0224358
3, 3.2, 142400, 7415, 0.511506, 0.026635
3.2, 3.4, 146605, 4815, 0.997141, 0.0327495
3.4, 3.6, 143090, 3565, 1.52177, 0.0379139
3.6, 3.8, 136150, 2235, 2.90484, 0.047685
3.8, 4, 125720, 1500, 4.86775, 0.0580784
4, 4.5, 98118, 750, 6.78149, 0.0518368
4.5, 5, 53796, 292, 15.2885, 0.0829849
5, 5.5, 23928, 108, 30.2179, 0.13639
5.5, 6, 9892, 30, 85.2658, 0.25859
6, 10, 759.75, 3, 73.2512, 0.289245
TABLE 1/3: 20< N_{particle} <30
AbsEtaLow,AbsEtaHigh,Numerator,Denominator,Error,RelativeError
0, 0.2, 1.70155e+06, 1.20114e+07, 0.000580189, 0.00409558
0.2, 0.4, 1.78464e+06, 1.11926e+07, 0.000287379, 0.00180233
0.4, 0.6, 1.84262e+06, 9.68672e+06, 0.000341853, 0.00179714
0.6, 0.8, 1.90393e+06, 7.88404e+06, 0.000436048, 0.00180564
0.8, 1, 1.97966e+06, 6.0935e+06, 0.000594295, 0.00182927
1, 1.2, 2.0707e+06, 4.52182e+06, 0.000859209, 0.00187627
1.2, 1.4, 2.16421e+06, 3.24047e+06, 0.00131102, 0.00196298
1.4, 1.6, 2.27095e+06, 2.29075e+06, 0.0020758, 0.0020939
1.6, 1.8, 2.39958e+06, 1.58806e+06, 0.0034563, 0.0022874
1.8, 2, 2.5395e+06, 1.08979e+06, 0.00596696, 0.00256065
2, 2.2, 2.67467e+06, 743030, 0.0105555, 0.00293234
2.2, 2.4, 2.8039e+06, 505205, 0.0189679, 0.00341763
2.4, 2.6, 2.913e+06, 339425, 0.0348051, 0.00405552
2.6, 2.8, 2.97098e+06, 229255, 0.0628128, 0.00484693
2.8, 3, 2.94818e+06, 155100, 0.110727, 0.00582522
3, 3.2, 2.84823e+06, 105615, 0.188964, 0.00700694
3.2, 3.4, 2.63778e+06, 70535, 0.319041, 0.00853126
3.4, 3.6, 2.36771e+06, 46650, 0.530606, 0.0104543
3.6, 3.8, 2.03368e+06, 32190, 0.793592, 0.0125613
3.8, 4, 1.68002e+06, 21785, 1.17588, 0.0152477
4, 4.5, 1.10999e+06, 11198, 1.33138, 0.0134315
4.5, 5, 521260, 4210, 2.70952, 0.0218837
5, 5.5, 215516, 1460, 5.4819, 0.0371368
5.5, 6, 82686, 524, 9.77962, 0.0619757
6, 10, 6109.25, 40, 12.1139, 0.0793153
TABLE 2/3: 30< N_{particle} <200
AbsEtaLow,AbsEtaHigh,Numerator,Denominator,Error,RelativeError
0, 0.2, 1.51659e+07, 6.21024e+07, 0.000349737, 0.00143213
0.2, 0.4, 1.676e+07, 5.75468e+07, 0.000180761, 0.000620657
0.4, 0.6, 1.78214e+07, 4.96108e+07, 0.000221833, 0.000617532
0.6, 0.8, 1.86724e+07, 4.02319e+07, 0.000290604, 0.000626143
0.8, 1, 1.93159e+07, 3.09767e+07, 0.000404242, 0.000648279
1, 1.2, 1.97934e+07, 2.29538e+07, 0.000591449, 0.000685885
1.2, 1.4, 2.01524e+07, 1.64959e+07, 0.000907006, 0.000742439
1.4, 1.6, 2.038e+07, 1.16161e+07, 0.00144227, 0.000822056
1.6, 1.8, 2.04631e+07, 8.06692e+06, 0.00235809, 0.000929601
1.8, 2, 2.03129e+07, 5.52406e+06, 0.00394551, 0.00107298
2, 2.2, 1.98868e+07, 3.76436e+06, 0.00663981, 0.00125685
2.2, 2.4, 1.90926e+07, 2.55504e+06, 0.0111307, 0.00148956
2.4, 2.6, 1.78708e+07, 1.7169e+06, 0.0185965, 0.00178662
2.6, 2.8, 1.62731e+07, 1.161e+06, 0.0301071, 0.00214799
2.8, 3, 1.43285e+07, 779725, 0.0477837, 0.00260028
3, 3.2, 1.22063e+07, 524190, 0.0734455, 0.00315407
3.2, 3.4, 1.00477e+07, 350585, 0.110105, 0.00384181
3.4, 3.6, 8.00033e+06, 234650, 0.159676, 0.0046833
3.6, 3.8, 6.16597e+06, 157905, 0.222528, 0.00569873
3.8, 4, 4.62765e+06, 107115, 0.298565, 0.00691081
4, 4.5, 2.71052e+06, 54662, 0.302953, 0.00610953
4.5, 5, 1.12356e+06, 19732, 0.578276, 0.0101557
5, 5.5, 436230, 7256, 1.00639, 0.0167397
5.5, 6, 163608, 2762, 1.60738, 0.0271355
6, 10, 12012, 197.5, 2.1816, 0.0358697
